giornata,partita,titolari
3,Torino,Rodriguez R.
3,Torino,Buongiorno
3,Torino,Schuurs
3,Torino,Milinkovic-Savic V.
3,Juventus,Szczesny
3,Juventus,De Sciglio
3,Juventus,Bremer
3,Juventus,Danilo
3,Juventus,Alex Sandro
3,Juventus,Rabiot
3,Juventus,Locatelli
3,Juventus,Miretti
3,Juventus,Cuadrado
3,Juventus,Vlahovic
3,Juventus,Kostic
3,Roma,Pellegrini Lo.
3,Roma,Dybala
3,Roma,Spinazzola
3,Roma,Matic
3,Roma,Cristante
3,Roma,Karsdorp
3,Roma,Ibanez
3,Roma,Smalling
3,Roma,Mancini
3,Roma,Rui Patricio
3,Milan,Maignan
3,Milan,Calabria
3,Milan,Kalulu
3,Milan,Tomori
3,Milan,Hernandez T.
3,Milan,Bennacer
3,Milan,Tonali
3,Milan,Messias
3,Milan,De Ketelaere
3,Milan,Rafael Leao
3,Milan,Giroud
3,Bologna,Arnautovic
3,Bologna,Cambiaso
3,Bologna,Dominguez
3,Bologna,Schouten
3,Bologna,Vignato
3,Bologna,Kasius
3,Bologna,Lucumi'
3,Bologna,Medel
3,Bologna,Soumaoro
3,Bologna,Skorupski
3,Spezia,Dragowski
3,Spezia,Hristov
3,Spezia,Kiwior
3,Spezia,Nikolaou
3,Spezia,Gyasi
3,Spezia,Agudelo
3,Spezia,Bourabia
3,Spezia,Bastoni S.
3,Spezia,Reca
3,Spezia,Strelec
3,Spezia,Nzola
3,Sassuolo,Pinamonti
3,Sassuolo,Berardi
3,Sassuolo,Matheus Henrique
3,Sassuolo,Lopez M.
3,Sassuolo,Frattesi
3,Sassuolo,Rogerio
3,Sassuolo,Ferrari G.
3,Sassuolo,Erlic
3,Sassuolo,Toljan
3,Sassuolo,Consigli
3,Verona,Montipo'
3,Verona,Coppola D.
3,Verona,Gunter
3,Verona,Ceccherini
3,Verona,Terracciano F.
3,Verona,Ilic
3,Verona,Miguel Veloso
3,Verona,Tameze
3,Verona,Lazovic
3,Verona,Lasagna
3,Verona,Henry
3,Atalanta,Zapata D.
3,Atalanta,Malinovskyi
3,Atalanta,Soppy
3,Atalanta,Koopmeiners
3,Atalanta,De Roon
3,Atalanta,Hateboer
3,Atalanta,Okoli
3,Atalanta,Demiral
3,Atalanta,Toloi
3,Atalanta,Musso
3,Salernitana,Sepe
3,Salernitana,Bronn
3,Salernitana,Fazio
3,Salernitana,Gyomber
3,Salernitana,Candreva
3,Salernitana,Maggiore
3,Salernitana,Coulibaly L.
3,Salernitana,Vilhena
3,Salernitana,Mazzocchi
3,Salernitana,Bonazzoli
3,Salernitana,Dia
3,Sampdoria,Caputo
3,Sampdoria,Leris
3,Sampdoria,Sabiri
3,Sampdoria,Villar
3,Sampdoria,Rincon
3,Sampdoria,Augello
3,Sampdoria,Colley
3,Sampdoria,Ferrari A.
3,Sampdoria,Depaoli
3,Sampdoria,Audero
3,Fiorentina,Gollini
3,Fiorentina,Dodo'
3,Fiorentina,Milenkovic
3,Fiorentina,Martinez Quarta
3,Fiorentina,Biraghi
3,Fiorentina,Bonaventura
3,Fiorentina,Amrabat
3,Fiorentina,Barak
3,Fiorentina,Ikone'
3,Fiorentina,Jovic
3,Fiorentina,Sottil
3,Napoli,Osimhen
3,Napoli,Lozano
3,Napoli,Zielinski
3,Napoli,Lobotka
3,Napoli,Zambo Anguissa
3,Napoli,Mario Rui
3,Napoli,Kim
3,Napoli,Rrahmani
3,Napoli,Di Lorenzo
3,Napoli,Meret
3,Lecce,Falcone
3,Lecce,Gendrey
3,Lecce,Pongracic
3,Lecce,Baschirotto
3,Lecce,Gallo
3,Lecce,Gonzalez J.
3,Lecce,Hjulmand
3,Lecce,Bistrovic
3,Lecce,Strefezza
3,Lecce,Ceesay
3,Lecce,Banda
3,Empoli,Lammers
3,Empoli,Baldanzi
3,Empoli,Bandinelli
3,Empoli,Marin
3,Empoli,Henderson L.
3,Empoli,Parisi
3,Empoli,De Winter
3,Empoli,Ismajli
3,Empoli,Stojanovic
3,Empoli,Vicario
4,Sassuolo,Consigli
4,Sassuolo,Toljan
4,Sassuolo,Erlic
4,Sassuolo,Ferrari G.
4,Sassuolo,Rogerio
4,Sassuolo,Frattesi
4,Sassuolo,Lopez M.
4,Sassuolo,Thorstvedt
4,Sassuolo,Berardi
4,Sassuolo,Pinamonti
4,Sassuolo,Kyriakopoulos
4,Milan,Rafael Leao
4,Milan,Diaz B.
4,Milan,Saelemaekers
4,Milan,Pobega
4,Milan,Bennacer
4,Milan,Hernandez T.
4,Milan,Tomori
4,Milan,Kjaer
4,Milan,Florenzi
4,Milan,Maignan
4,Inter,Handanovic
4,Inter,Skriniar
4,Inter,De Vrij
4,Inter,Dimarco
4,Inter,Dumfries
4,Inter,Barella
4,Inter,Brozovic
4,Inter,Calhanoglu
4,Inter,Darmian
4,Inter,Dzeko
4,Inter,Correa
4,Cremonese,Okereke
4,Cremonese,Quagliata
4,Cremonese,Ascacibar
4,Cremonese,Pickel
4,Cremonese,Escalante
4,Cremonese,Ghiglione
4,Cremonese,Lochoshvili
4,Cremonese,Bianchetti
4,Cremonese,Aiwu
4,Cremonese,Radu I.
4,Roma,Rui Patricio
4,Roma,Mancini
4,Roma,Kumbulla
4,Roma,Ibanez
4,Roma,Celik
4,Roma,Matic
4,Roma,Cristante
4,Roma,Zalewski
4,Roma,Dybala
4,Roma,Pellegrini Lo.
4,Roma,Abraham
4,Monza,Caprari
4,Monza,Carlos Augusto
4,Monza,Machin
4,Monza,Sensi
4,Monza,Pessina
4,Monza,Birindelli
4,Monza,Caldirola
4,Monza,Marrone
4,Monza,Marlon
4,Monza,Di Gregorio
4,Empoli,Vicario
4,Empoli,Stojanovic
4,Empoli,Ismajli
4,Empoli,Luperto
4,Empoli,Parisi
4,Empoli,Haas
4,Empoli,Grassi
4,Empoli,Bandinelli
4,Empoli,Baldanzi
4,Empoli,Satriano
4,Empoli,Lammers
4,Verona,Lasagna
4,Verona,Lazovic
4,Verona,Ilic
4,Verona,Hongla
4,Verona,Tameze
4,Verona,Faraoni
4,Verona,Ceccherini
4,Verona,Coppola D.
4,Verona,Dawidowicz
4,Verona,Montipo'
4,Sampdoria,Audero
4,Sampdoria,Bereszynski
4,Sampdoria,Colley
4,Sampdoria,Murillo
4,Sampdoria,Augello
4,Sampdoria,Leris
4,Sampdoria,Rincon
4,Sampdoria,Vieira
4,Sampdoria,Sabiri
4,Sampdoria,Verre
4,Sampdoria,Quagliarella
4,Lazio,Immobile
4,Lazio,Felipe Anderson
4,Lazio,Luis Alberto
4,Lazio,Cataldi
4,Lazio,Milinkovic-Savic
4,Lazio,Marusic
4,Lazio,Romagnoli
4,Lazio,Patric
